ID	MK	MK_add10	termin	day	week	date	treat	Lt	Fc	lit_pow	lit_chop	soil	nitox.gc	nitox.pool.gcms	nitox.atperc	total.ppm	dinitrogen.ppm	nitox.ppm	product.ratio	nitox.pool	total	dinitrogen	nitox
1	1	11	1	19	3	2013-06-12	Lt	y	n	n	y	Loam	0.539	0.192	1.582	8.093	5.027	3.065	0.379	0.233	0.273	0.170	0.103
2	2	12	1	19	3	2013-06-12	Lt	y	n	n	y	Loam	0.632	0.152	1.181	0.000	0.000	0.000	0.000	0.174	0.000	0.000	0.000
3	3	13	1	19	3	2013-06-12	Lt	y	n	n	y	Loam	0.548	0.117	0.926	6.853	4.954	1.899	0.277	0.137	0.231	0.167	0.064
4	4	14	1	19	3	2013-06-12	Lt	y	n	n	y	Loam	0.589	0.143	1.377	7.929	5.440	2.489	0.314	0.203	0.268	0.184	0.084
5	5	15	1	19	3	2013-06-12	LF	y	y	y	y	Loam	2.514	0.186	1.598	59.864	46.028	13.837	0.231	0.236	2.021	1.554	0.467
6	6	16	1	19	3	2013-06-12	LF	y	y	y	y	Loam	1.203	0.130	1.321	20.636	16.009	4.627	0.224	0.195	0.697	0.540	0.156
7	7	17	1	19	3	2013-06-12	LF	y	y	y	y	Loam	0.739	0.134	1.277	15.432	12.499	2.933	0.190	0.188	0.521	0.422	0.099
8	9	19	1	19	3	2013-06-12	Fc	n	y	y	n	Loam	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	10	20	1	19	3	2013-06-12	Fc	n	y	y	n	Loam	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10	12	22	1	19	3	2013-06-12	Fc	n	y	y	n	Loam	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
11	13	23	1	19	3	2013-06-12	C	n	n	y	y	Loam	0.016	0.000	1.720	1.007	1.007	0.000	0.000	0.254	0.034	0.034	0.000
12	15	25	1	19	3	2013-06-12	C	n	n	y	y	Loam	0.005	0.000	2.090	0.000	0.000	0.000	0.000	0.308	0.000	0.000	0.000
13	16	26	1	19	3	2013-06-12	C	n	n	y	y	Loam	0.003	0.000	0.713	0.000	0.000	0.000	0.000	0.105	0.000	0.000	0.000
14	17	27	1	19	3	2013-06-12	Lt	y	n	n	y	Sand	0.365	0.206	1.782	1.788	0.000	1.788	1.000	0.263	0.060	0.000	0.060
15	18	28	1	19	3	2013-06-12	Lt	y	n	n	y	Sand	0.303	0.289	2.292	9.179	6.584	2.595	0.283	0.338	0.310	0.222	0.088
16	19	29	1	19	3	2013-06-12	Lt	y	n	n	y	Sand	0.163	0.372	1.183	1.897	0.097	1.800	0.949	0.174	0.064	0.003	0.061
17	20	30	1	19	3	2013-06-12	Lt	y	n	n	y	Sand	0.557	0.267	1.273	10.859	6.456	4.403	0.405	0.188	0.367	0.218	0.149
18	21	31	1	19	3	2013-06-12	LF	y	y	y	y	Sand	1.102	0.097	1.130	11.373	8.197	3.177	0.279	0.167	0.384	0.277	0.107
19	23	33	1	19	3	2013-06-12	LF	y	y	y	y	Sand	0.424	0.191	1.514	0.000	0.000	0.000	0.000	0.223	0.000	0.000	0.000
20	24	34	1	19	3	2013-06-12	LF	y	y	y	y	Sand	0.776	0.126	0.999	7.597	4.695	2.902	0.382	0.147	0.256	0.158	0.098
21	26	36	1	19	3	2013-06-12	Fc	n	y	y	n	Sand	0.144	0.626	3.308	2.970	0.290	2.679	0.902	0.488	0.100	0.010	0.090
22	27	37	1	19	3	2013-06-12	Fc	n	y	y	n	Sand	0.172	0.000	3.284	10.548	4.516	6.032	0.572	0.484	0.356	0.152	0.204
23	28	38	1	19	3	2013-06-12	Fc	n	y	y	n	Sand	0.194	0.715	2.794	9.374	5.259	4.115	0.439	0.412	0.316	0.178	0.139
24	29	39	1	19	3	2013-06-12	C	n	n	y	y	Sand	0.157	0.712	3.080	0.000	0.000	0.000	0.000	0.454	0.000	0.000	0.000
25	30	40	1	19	3	2013-06-12	C	n	n	y	y	Sand	0.030	0.000	3.679	0.000	0.000	0.000	0.000	0.543	0.000	0.000	0.000
