MK	treat	soil	experiment	Termin_1	Termin_2	Termin_3	Termin_4	Termin_5	Termin_6	Termin_7	Termin_8	Termin_9	Termin_10	Termin_11	Termin_12	Termin_13	Termin_14	Termin_15
1	Lt	Loam	exp1	2142.548888	1888.304837	3435.501281	3589.937788	6487.095457	4390.381111	2366.786159	2032.388383	1651.3806	1309.700371	1223.110966	1302.615456	1087.90089	1174.826814	914.0333368
2	Lt	Loam	exp1	1462.657101	1472.62899	2017.958108	2361.520732	1822.249361	1554.439081	1448.826136	1361.352278	1060.492622	1212.087404	1025.234818	1087.130647	1282.429384	1034.933076	874.0200628
3	Lt	Loam	exp1	1431.398157	1372.641572	1988.321908	2268.382706	1737.670753	1501.11379	1327.551637	1327.350896	1022.461182	1220.87301	1080.076136	1291.22129	1135.339805	1022.06604	878.9467535
4	Lt	Loam	exp1	1286.592169	1485.616008	2220.170597	2568.61867	1802.994404	1580.052725	1414.332193	1358.015355	1147.595876	1198.925655	1175.944805	1207.717019	1060.577772	1025.035112	889.7009741
5	int	Loam	exp1	1640.794213	1677.050024	2363.150642	2283.695736	1728.335001	1531.601685	1397.373625	1412.40299	1118.387157	1264.630601	1107.60444	1156.311512	1095.935454	1015.981916	844.3711397
6	int	Loam	exp1	1759.028819	1722.250702	2652.431603	2159.215509	1778.766065	1455.513925	1366.903747	1401.423739	1038.216836	1278.723476	1116.380209	1159.334148	987.7455591	1176.034586	947.6290266
7	int	Loam	exp1	1565.445888	1694.583983	2308.329812	2178.663041	1781.363399	1538.563519	1451.679798	1428.712164	1113.004327	1277.747345	1083.552431	1125.164706	1030.4149	1012.736702	880.5136018
8	int	Loam	exp1	1464.658929	2099.990256	2925.254584	2607.307125	2249.553613	1735.921649	1642.247432	2003.293207	1384.102378	1495.803244	1107.658525	1115.152256	910.6822412	936.65224	775.0060389
9	Fc	Loam	exp1	1524.889908	1677.728687	2264.199115	1811.625554	1404.858227	1276.045292	1182.719135	1243.495814	976.3355625	1045.047175	910.3793026	979.5323504	837.424486	876.4168759	793.8457905
10	Fc	Loam	exp1	1804.726442	2070.395472	2331.80378	1805.144043	1576.891769	1379.802423	1331.836888	1401.48251	995.4036731	1170.848549	973.8284317	1012.682216	891.6944939	888.0890551	770.0381718
11	Fc	Loam	exp1	1735.72764	2055.424957	2302.112584	1890.352616	1453.140028	1278.671385	1190.835027	1255.338582	908.765195	1070.689233	901.2986015	916.7820361	805.1148929	860.9751657	728.1904641
12	Fc	Loam	exp1	1743.019118	2053.781312	2336.007168	1890.680822	1494.252556	1283.656048	1355.584448	1271.068054	903.2299157	1149.080673	887.7541651	930.8961661	811.7498407	863.4957738	739.7695764
13	C	Loam	exp1	1360.58299	1379.598332	2313.068075	2029.003062	1473.716303	1263.738697	1129.571661	1205.949727	894.682112	1107.763881	997.9336723	995.8742058	929.6851025	954.6019419	752.6794598
14	C	Loam	exp1	1339.799623	1431.040538	2359.401828	2004.207717	1472.857026	1297.241884	1270.15805	1227.130889	930.1794977	1069.220456	931.2165776	996.5083227	878.7259779	882.1499694	717.6262357
15	C	Loam	exp1	1331.479676	1331.547155	2114.298255	2001.705154	1451.939024	1229.503744	1154.272348	1177.021513	902.9419909	1079.966499	945.0217964	1001.822526	935.3740665	935.6625491	762.3132774
16	C	Loam	exp1	1310.159264	1335.39948	2167.58767	1989.360172	1484.850559	1243.843998	1184.300785	1196.268303	908.7186293	1080.96487	1013.053292	976.0429834	870.1477166	857.2093329	692.6111537
17	Lt	Sand	exp1	1109.08274	1448.509369	2324.473557	1921.657009	1806.407863	1300.742276	1254.810117	1230.193099	1044.081222	1125.566247	1105.660974	1015.221136	930.1747873	823.6240022	772.3014775
18	Lt	Sand	exp1	1225.815749	1607.80579	2026.4778	1925.592312	1678.457538	1322.571133	1318.021174	1355.343416	1186.658822	1131.833902	1127.354681	971.8322633	863.1404524	818.680349	670.7524565
19	Lt	Sand	exp1	1083.540883	1645.51429	2126.121359	2109.192966	1648.383164	1345.850945	1243.364794	1144.483088	1156.124291	1229.034276	1157.119176	976.8765424	823.9930738	745.7114386	701.5157691
20	Lt	Sand	exp1	1273.779857	1761.633384	2323.385723	2154.187607	1799.086142	1432.037407	1257.812028	1238.339792	1194.953298	1195.122657	1012.539227	911.0659248	900.6033967	781.4661862	691.9754141
21	int	Sand	exp1	1398.195199	2035.092895	2230.231374	1816.195884	1492.064261	1299.241278	1191.104277	1179.705696	1110.593481	1194.780967	1121.425026	955.0233965	905.4321077	777.9803288	705.8704348
22	int	Sand	exp1	1397.526088	2535.588878	2764.586204	2354.113782	1840.912065	1335.822884	1185.165942	1269.780899	2129.941541	1723.581093	1230.573382	999.8186293	808.6464157	744.8314589	670.1313486
23	int	Sand	exp1	1506.414454	2285.31638	2349.581899	2041.248654	1629.994722	1369.027244	1606.183603	1282.214286	1181.092752	1335.622785	1038.179912	931.3926328	790.5835504	779.1952281	688.401555
24	int	Sand	exp1	1598.580999	2267.978156	2381.057099	1917.973262	1618.960996	1308.390384	1188.067572	1151.129301	1172.461544	1290.847561	1000.467592	889.7365594	837.4965915	765.9946544	777.5096188
25	Fc	Sand	exp1	1817.699074	2319.46228	1929.570764	1540.482201	1245.714581	1056.84445	1012.587125	1076.649024	1139.800044	1318.032879	971.0135438	814.2943701	779.1163093	702.5692108	644.6513396
26	Fc	Sand	exp1	1924.312768	2363.455077	1906.556514	1533.828297	1248.384106	1105.228526	1053.21064	1094.7415	1187.294703	1267.774686	848.7993873	759.2235379	688.4133365	683.5826948	626.8006188
27	Fc	Sand	exp1	1583.722544	2398.155064	1936.340779	1556.582532	1213.869363	1089.556711	1041.657938	1088.615267	1197.473579	1288.78452	888.3358868	788.7174825	732.2810145	648.3783465	590.9917564
28	Fc	Sand	exp1	1803.111783	2242.727672	1887.736006	1526.06326	1227.583712	1075.582692	1041.425536	1152.060146	1393.834788	1234.239263	815.150724	714.2357932	646.9304745	635.6405342	655.9815205
29	C	Sand	exp1	1259.396658	1763.377222	1940.827492	1682.135382	1299.668948	1104.556029	1043.662963	1080.136586	1172.325018	1128.857845	820.8447086	751.8537703	659.1600391	626.9052162	575.8986327
30	C	Sand	exp1	1256.695916	1671.116517	1973.468359	1694.148345	1288.778792	1095.489996	1036.233673	1076.127873	1104.023735	1098.754527	827.4730774	756.3436894	652.4504223	628.5633297	575.1849939
31	C	Sand	exp1	1386.976857	1793.146999	2079.805664	1677.639497	1396.345647	1166.346366	1054.389045	1042.813404	1045.913043	1101.044191	875.6729522	742.2691961	713.5800728	626.7239741	596.837731
32	C	Sand	exp1	1338.433871	1774.548415	2024.737991	1742.374244	1332.843843	1153.560835	1100.678796	1155.629423	1042.273917	1041.071479	787.0397467	735.9281291	657.3454048	682.7629082	564.1892469
33	Lt	Loam	exp2	1736.022837	2066.359286	3347.604193	2789.32654	1982.381837	1644.529593	1502.776942	1492.562611	1189.398698	1122.772844	889.3837182	902.8556267	799.6559038	816.6642576	700.8503084
34	Lt	Loam	exp2	1672.111444	2161.07485	3466.212597	2885.552426	1970.357197	1552.132588	1374.48311	1381.432988	930.3746224	1058.457764	953.1573501	937.8340373	785.6609185	823.4509946	801.1364806
35	Lt	Loam	exp2	1530.61497	2038.74152	3266.156439	2922.746688	1919.669641	1534.544185	1356.716781	1262.575958	1004.635021	1068.29417	935.963776	932.496712	852.2078043	886.084191	758.9169681
36	int	Loam	exp2	1977.409551	2789.017532	3773.816116	2598.784511	1904.397653	1460.442897	1339.835793	1217.150608	955.5534392	1047.865781	867.0508557	928.6066923	803.0099734	852.9702787	748.8604053
37	int	Loam	exp2	2031.584879	3029.670429	3626.405998	2554.426949	1850.743991	1473.532433	1318.149671	1245.208345	996.927165	1002.489745	920.2316578	886.7907507	906.7996367	839.7937206	740.4660316
38	int	Loam	exp2	2097.473597	2715.50123	3789.741604	2559.52853	1855.777292	1475.785827	1399.770608	1330.721192	1010.214294	1021.608448	955.0761418	976.0638654	907.6298417	844.6224056	720.9173267
39	Fc	Loam	exp2	2189.129471	3523.881684	3311.051191	2205.284126	1515.830334	1169.309897	956.2458767	958.8074909	783.0420247	857.4964805	778.390023	763.9732919	684.5251955	727.0567347	664.432036
