treat	measure	Experiment	soil	day	nitox_cum	carbon	nitox
Lt	mean	Exp1	Loam	1	NA	NA	0.971946591
LF	mean	Exp1	Loam	1	NA	NA	2.813770044
Fc	mean	Exp1	Loam	1	NA	NA	3.472807559
C	mean	Exp1	Loam	1	NA	NA	3.613617671
Lt	mean	Exp1	Sand	1	NA	NA	0.081619393
LF	mean	Exp1	Sand	1	NA	NA	0.146046143
Fc	mean	Exp1	Sand	1	NA	NA	0.114675077
C	mean	Exp1	Sand	1	NA	NA	0.054926859
Lt	se	Exp1	Loam	1	NA	NA	0.133345503
LF	se	Exp1	Loam	1	NA	NA	1.100333271
Fc	se	Exp1	Loam	1	NA	NA	0.514420693
C	se	Exp1	Loam	1	NA	NA	0.421660997
Lt	se	Exp1	Sand	1	NA	NA	0.021495959
LF	se	Exp1	Sand	1	NA	NA	0.037342141
Fc	se	Exp1	Sand	1	NA	NA	0.015102984
C	se	Exp1	Sand	1	NA	NA	0.014335851
Lt	mean	Exp1	Loam	3	46.23816194	78.38927291	0.95464349
LF	mean	Exp1	Loam	3	91.06842752	86.62969169	0.980747769
Fc	mean	Exp1	Loam	3	108.1140541	98.43601389	1.031944694
C	mean	Exp1	Loam	3	121.1727851	63.15490683	1.435248373
Lt	mean	Exp1	Sand	3	5.015905424	69.34075047	0.127376666
LF	mean	Exp1	Sand	3	11.93909264	99.64151424	0.351416051
Fc	mean	Exp1	Sand	3	3.227190081	120.1661883	0.019791177
C	mean	Exp1	Sand	3	1.443295368	82.30016676	0.005210448
Lt	se	Exp1	Loam	3	5.319793293	8.648174473	0.146420259
LF	se	Exp1	Loam	3	34.14778181	1.927249131	0.322802993
Fc	se	Exp1	Loam	3	12.48582566	5.135654704	0.107500165
C	se	Exp1	Loam	3	14.47557547	0.737275794	0.183520061
Lt	se	Exp1	Sand	3	0.479430711	3.23635948	0.025364013
LF	se	Exp1	Sand	3	4.510905978	2.591407777	0.201277661
Fc	se	Exp1	Sand	3	0.415453616	2.142552499	0.003293447
C	se	Exp1	Sand	3	0.398919221	1.900118798	0.003279332
Lt	mean	Exp1	Loam	5	87.24162381	184.2331217	0.753834089
LF	mean	Exp1	Loam	5	126.283023	200.9873849	0.486527043
Fc	mean	Exp1	Loam	5	144.3955915	218.7395226	0.479786033
C	mean	Exp1	Loam	5	168.6492527	157.3165669	0.542937778
Lt	mean	Exp1	Sand	5	12.34749456	175.9985949	0.178106214
LF	mean	Exp1	Sand	5	25.19798525	228.6223156	0.201037808
Fc	mean	Exp1	Sand	5	4.127895765	246.0944832	0.017738227
C	mean	Exp1	Sand	5	1.89355537	191.2906929	0.013550386
Lt	se	Exp1	Loam	5	7.325478636	22.96225175	0.126306354
LF	se	Exp1	Loam	5	44.12099676	5.314193051	0.096376531
Fc	se	Exp1	Loam	5	13.37340321	8.678214342	0.054899176
C	se	Exp1	Loam	5	19.31610947	2.6918586	0.022358314
Lt	se	Exp1	Sand	5	1.649876049	4.931617387	0.032188205
LF	se	Exp1	Sand	5	10.2477577	4.174511682	0.040813422
Fc	se	Exp1	Sand	5	0.409953952	1.642426466	0.003341569
C	se	Exp1	Sand	5	0.528744952	3.579511488	0.00415364
Lt	mean	Exp1	Loam	7	122.9615998	330.1434591	0.734498244
LF	mean	Exp1	Loam	7	151.8511202	334.2627411	0.578810338
Fc	mean	Exp1	Loam	7	160.1700649	336.7300989	0.177483692
C	mean	Exp1	Loam	7	186.4749949	274.2583177	0.199801479
Lt	mean	Exp1	Sand	7	22.72597978	298.6582251	0.25433067
LF	mean	Exp1	Sand	7	34.91106138	349.305774	0.203673697
Fc	mean	Exp1	Sand	7	5.097955037	344.2871825	0.022680909
C	mean	Exp1	Sand	7	2.565219737	299.7633069	0.01443563
Lt	se	Exp1	Loam	7	10.37020031	42.78890164	0.140992882
LF	se	Exp1	Loam	7	46.50803624	7.587469584	0.069426101
Fc	se	Exp1	Loam	7	13.88026301	9.281413517	0.021178594
C	se	Exp1	Loam	7	19.74584604	3.912292288	0.003987157
Lt	se	Exp1	Sand	7	2.989455033	6.633264664	0.03368137
LF	se	Exp1	Sand	7	10.89771758	4.965145065	0.016736683
Fc	se	Exp1	Sand	7	0.363220205	1.164818731	0.003261522
C	se	Exp1	Sand	7	0.490734903	4.326084011	0.006562669
Lt	mean	Exp1	Loam	11	211.0868511	658.4657101	1.101444492
LF	mean	Exp1	Loam	11	218.9487981	554.1801761	0.819057953
Fc	mean	Exp1	Loam	11	169.2057008	514.840243	0.010758724
C	mean	Exp1	Loam	11	196.7119354	456.5342116	0.013468116
Lt	mean	Exp1	Sand	11	47.14396971	511.4753404	0.254377454
LF	mean	Exp1	Sand	11	56.49408936	539.334882	0.245972719
Fc	mean	Exp1	Sand	11	6.242190142	490.8285454	0.001157322
C	mean	Exp1	Sand	11	3.745928999	466.6752524	0.01016248
Lt	se	Exp1	Loam	11	38.21967927	132.52608	0.597345912
LF	se	Exp1	Loam	11	49.90917907	5.843072313	0.151785799
Fc	se	Exp1	Loam	11	14.53708119	11.51735753	0.006705127
C	se	Exp1	Loam	11	19.47227135	3.585330918	0.005646941
Lt	se	Exp1	Sand	11	5.472651728	9.992149007	0.027667916
LF	se	Exp1	Sand	11	10.29482707	8.34478447	0.07730348
Fc	se	Exp1	Sand	11	0.380263339	1.189448768	0.001157322
C	se	Exp1	Sand	11	0.625385099	5.907972528	0.01016248
Lt	mean	Exp1	Loam	15	317.3358479	954.5654192	1.112076276
LF	mean	Exp1	Loam	15	305.8721561	727.6160357	0.991845338
Fc	mean	Exp1	Loam	15	170.3125411	656.3486462	0.012300447
C	mean	Exp1	Loam	15	198.0359186	590.0028667	0.014114867
Lt	mean	Exp1	Sand	15	68.18088148	677.8336109	0.183891542
LF	mean	Exp1	Sand	15	82.41378698	689.5066299	0.294020981
Fc	mean	Exp1	Sand	15	10.66721439	605.8308143	0.091030683
C	mean	Exp1	Sand	15	6.240116294	593.2955143	0.041799755
Lt	se	Exp1	Loam	15	89.10798997	248.4596361	0.498181838
LF	se	Exp1	Loam	15	57.12252289	3.333681154	0.206979659
Fc	se	Exp1	Loam	15	14.9970851	14.96804805	0.004547624
C	se	Exp1	Loam	15	19.29748294	4.547667907	0.003703037
Lt	se	Exp1	Sand	15	9.559781922	13.73598725	0.065280758
LF	se	Exp1	Sand	15	13.55976744	9.6206402	0.049145
Fc	se	Exp1	Sand	15	1.582721789	1.843325561	0.032054118
C	se	Exp1	Sand	15	2.057416031	8.852471052	0.02229059
Lt	mean	Exp1	Loam	18	396.4369409	1112.237668	1.085176307
LF	mean	Exp1	Loam	18	401.7610689	839.1413052	1.671735574
Fc	mean	Exp1	Loam	18	170.9269189	750.5993469	0.004765603
C	mean	Exp1	Loam	18	198.7444577	675.3137308	0.005566772
Lt	mean	Exp1	Sand	18	85.09369447	777.1542653	0.285908819
LF	mean	Exp1	Sand	18	118.2305847	788.3459571	0.700890067
Fc	mean	Exp1	Sand	18	19.66012577	680.7769358	0.158772411
C	mean	Exp1	Sand	18	9.42885756	672.6774891	0.046776391
Lt	se	Exp1	Loam	18	115.4715655	291.6561547	0.240173566
LF	se	Exp1	Loam	18	73.84021713	0.415676777	0.523592534
Fc	se	Exp1	Loam	18	15.1505907	17.50723795	0.002736468
C	se	Exp1	Loam	18	19.32002839	6.778906759	0.002109339
