ID	Sampleset	MK	soil	Lt	Fc	treat	N2O.conc	d18o	bulk	alpha	beta	sp
1	2	33	Loam	1	0	Lt	1093.935559	28.85170259	-8.861383874	-5.703114636	-12.00289071	6.299776075
2	2	34	Loam	1	0	Lt	761.087813	30.27764843	-9.320436879	-6.490798007	-12.13433874	5.643540734
3	2	35	Loam	1	0	Lt	929.7309117	32.62283765	-9.233821452	-5.248262016	-13.199311	7.951048983
4	2	36	Loam	1	1	Int	477.7526299	38.65038008	-7.649611491	0.422236715	-15.6842995	16.10653622
5	2	37	Loam	1	1	Int	872.9672308	27.17624109	-11.61526611	-9.66146327	-13.55686746	3.895404186
6	2	38	Loam	1	1	Int	1334.779011	25.17899533	-11.13610759	-8.86516707	-13.3938273	4.528660233
7	2	39	Loam	0	1	Fc	321.2235253	13.06630364	-35.09506995	-72.04411036	1.746128384	-73.79023875
8	2	40	Loam	0	1	Fc	319.1641884	4.331784881	-52.82660481	-74.38227474	-31.30866093	-43.07361381
9	2	41	Loam	0	1	Fc	345.3685483	21.08568792	-38.54781301	-25.23292235	-51.79867467	26.56575232
10	2	42	Loam	0	0	Control	326.7552938	10.03739736	-41.25261439	-44.42361391	-38.07073485	-6.352879061
11	2	43	Loam	0	0	Control	375.0770032	31.2164512	-21.50669178	-11.73756287	-31.22943807	19.4918752
12	2	44	Loam	0	0	Control	327.9369867	30.92557609	-17.95252161	-5.333023616	-30.50112654	25.16810293
13	2	45	Sand	1	0	Lt	464.9301584	27.76610361	-16.06147407	-11.29972949	-20.79883119	9.499101706
14	2	46	Sand	1	0	Lt	495.6093636	31.92501245	-12.13773441	-0.777630706	-23.44321198	22.66558128
15	2	47	Sand	1	0	Lt	1151.215777	32.47670991	-12.88767236	-5.115908151	-20.62283512	15.50692697
16	2	48	Sand	1	1	Int	629.6685039	25.47762167	-25.07138013	-16.9493544	-33.15381502	16.20446063
17	2	49	Sand	1	1	Int	457.4973118	27.16673583	-11.65216146	-4.354643893	-18.91023781	14.55559392
18	2	50	Sand	1	1	Int	642.8201934	25.0335557	2.15235257	5.141683441	-0.818072611	5.959756052
19	2	51	Sand	0	1	Fc	717.5290595	17.37744208	2.464363086	3.136776859	1.801048614	1.335728246
20	2	52	Sand	0	1	Fc	932.7840329	18.79321693	-19.65636937	-16.4066668	-22.88738705	6.480720252
21	2	53	Sand	0	1	Fc	750.0539558	17.4958711	-16.49477266	-14.25015357	-18.72418682	4.474033244
22	2	54	Sand	0	0	Control	3196.936293	25.69696247	-25.00488305	-17.36775952	-32.6067028	15.23894328
23	2	55	Sand	0	0	Control	2559.789361	24.62136484	-28.90069266	-21.36070344	-36.40570507	15.04500162
24	2	56	Sand	0	0	Control	1940.41402	27.34513916	-33.84156076	-24.72547341	-42.91885348	18.19338007
25	1	33	Loam	1	0	Lt	3766.00	31.59205708	13.78443244	19.22124411	8.36596442	10.85527969
26	1	34	Loam	1	0	Lt	4772	32.54079735	12.73134781	19.74305073	5.742869582	14.00018115
27	1	35	Loam	1	0	Lt	3601	31.33937782	12.99661741	17.08179942	8.925724752	8.156074672
28	1	36	Loam	1	1	Int	8344	31.02788111	20.82519604	26.87255858	14.79856463	12.07399395
29	1	37	Loam	1	1	Int	8949	30.45801926	18.39975416	24.78534931	12.03591354	12.74943577
30	1	38	Loam	1	1	Int	8722	31.05682125	18.331888	24.60612677	12.07906321	12.52706355
31	1	39	Loam	0	1	Fc	13639	30.15017638	23.35057732	31.20462575	15.52278535	15.6818404
32	1	40	Loam	0	1	Fc	12930	30.34467531	22.83265103	31.02054428	14.67198704	16.34855723
33	1	41	Loam	0	1	Fc	19141	29.76400439	25.36065144	33.46961951	17.27877514	16.19084436
34	1	42	Loam	0	0	Control	7759	30.63022486	16.86154676	23.95785558	9.78902986	14.16882572
35	1	43	Loam	0	0	Control	9047	31.44838909	18.30793337	25.69985619	10.94074934	14.75910684
36	1	44	Loam	0	0	Control	4003	33.10698961	13.87776633	21.41956375	6.360609389	15.05895437
