MK	treat	soil	experiment	Termin_1	Termin_2 	Termin_3	Termin_4	Termin_5	Termin_6	Termin_7	Termin_8	Termin_9	Termin_10	Termin_11	Termin_12	Termin_13	Termin_14	Termin_15
1	Lt	Loam	exp1	694.91	606.97	567.08	600.25	1234.10	1155.45	873.56	1112.12	1153.05	1223.41	2154.64	1468.49	795.43	1638.42	927.41
2	Lt	Loam	exp1	498.15	515.33	581.57	482.63	465.86	452.80	572.44	530.00	592.54	539.16	534.50	564.61	2657.97	712.82	1175.46
3	Lt	Loam	exp1	641.07	655.93	436.32	418.25	458.75	491.68	535.06	504.46	406.28	432.00	559.50	766.35	1341.65	914.66	992.11
4	Lt	Loam	exp1	550.29	718.69	558.62	595.89	442.84	515.60	565.06	545.08	577.31	538.86	1137.29	1578.99	2267.13	1147.12	901.67
5	int	Loam	exp1	1016.47	584.12	424.40	514.20	631.03	723.74	1107.62	1181.59	1428.44	985.47	698.07	844.43	1567.87	871.10	445.91
6	int	Loam	exp1	1772.59	820.65	511.51	468.09	549.36	557.21	730.88	810.80	1043.29	1006.32	1116.14	1309.53	961.83	731.65	595.55
7	int	Loam	exp1	646.20	490.85	419.83	443.53	474.39	522.15	583.86	560.97	580.47	551.95	611.03	670.81	813.25	689.62	504.66
8	int	Loam	exp1	1076.46	2324.60	2810.63	2004.53	1002.47	498.33	1063.70	3665.20	1249.47	1259.80	717.85	527.92	444.90	365.74	319.47
9	Fc	Loam	exp1	1197.37	721.14	487.29	370.95	311.77	310.41	314.73	331.00	311.85	311.61	310.65	317.18	303.70	313.43	309.39
10	Fc	Loam	exp1	1754.34	639.55	433.38	349.55	316.98	308.91	311.79	308.74	310.42	310.12	304.89	309.32	303.19	314.32	306.45
11	Fc	Loam	exp1	1236.15	572.43	412.82	354.20	309.03	307.63	306.38	309.59	314.65	306.78	309.08	311.39	299.66	311.90	304.48
12	Fc	Loam	exp1	1104.99	640.36	456.67	343.26	306.48	301.92	312.28	308.68	303.28	304.29	305.17	309.33	302.48	311.25	310.27
