MK	treat	exp	soil	count	core	surface
5	RC	Exp1	Loam	245	2705	8498.028
6	RC	Exp1	Loam	297	2945	9252.012
7	RC	Exp1	Loam	380	3635	11419.716
8	RC	Exp1	Loam	230	2215	6958.644
9	C	Exp1	Loam	463	4630	14545.608
10	C	Exp1	Loam	593	5835	18331.236
11	C	Exp1	Loam	407	4070	12786.312
12	C	Exp1	Loam	386	3860	12126.576
21	RC	Exp1	Sand	359	3590	11278.344
22	RC	Exp1	Sand	335	3350	10524.36
23	RC	Exp1	Sand	227	2270	7131.432
24	RC	Exp1	Sand	305	3050	9581.88
25	C	Exp1	Sand	323	3135	9848.916
26	C	Exp1	Sand	154	1540	4838.064
27	C	Exp1	Sand	155	1550	4869.48
28	C	Exp1	Sand	182	1820	5717.712
36	RC	Exp2	Loam	475	4885	15346.716
37	RC	Exp2	Loam	663	6630	20828.808
38	RC	Exp2	Loam	642	6420	20169.072
39	C	Exp2	Loam	418	4180	13131.888
40	C	Exp2	Loam	351	3670	11529.672
41	C	Exp2	Loam	590	6250	19635
48	RC	Exp2	Sand	306	3060	9613.296
49	RC	Exp2	Sand	455	4550	14294.28
50	RC	Exp2	Sand	313	3130	9833.208
51	C	Exp2	Sand	132	1320	4146.912
52	C	Exp2	Sand	126	1260	3958.416
53	C	Exp2	Sand	164	1705	5356.428
