MK	treat	soil	experiment	Termin_1	Termin_2 	Termin_3	Termin_4	Termin_5	Termin_6	Termin_7	Termin_8	Termin_9	Termin_10	Termin_11	Termin_12	Termin_13	Termin_14	Termin_15
1	Lt	Loam	exp1	45.50	45.78	46.00	45.20	45.00	44.00	46.10	45.90	45.80	46.40	47.40	45.80	46.10	46.10	45.60
2	Lt	Loam	exp1	49.00	49.06	49.30	49.30	49.60	48.90	49.50	49.40	49.50	49.00	49.90	48.40	48.50	48.50	48.10
3	Lt	Loam	exp1	49.00	48.33	42.30	48.60	49.00	48.50	49.40	49.30	49.20	48.80	49.50	48.40	48.30	48.40	47.90
4	Lt	Loam	exp1	49.30	48.76	49.10	48.70	49.20	48.40	49.50	49.30	48.80	48.70	49.00	48.00	48.60	48.30	47.80
5	int	Loam	exp1	48.30	48.22	48.40	48.30	48.60	48.10	48.50	48.60	48.30	48.30	48.80	48.00	47.90	47.80	47.20
6	int	Loam	exp1	48.00	47.75	47.70	47.70	48.10	47.70	48.10	48.20	48.00	47.60	48.40	47.40	47.30	47.50	46.80
7	int	Loam	exp1	48.60	48.54	48.80	48.50	48.90	48.60	49.10	48.70	48.70	48.60	49.20	48.10	48.10	48.20	47.50
8	int	Loam	exp1	45.40	45.74	45.90	45.60	46.00	45.70	46.20	46.20	46.00	45.60	46.50	45.30	45.40	45.60	45.00
9	Fc	Loam	exp1	49.40	49.33	49.40	49.50	49.70	49.10	49.50	49.70	49.30	49.30	50.00	49.10	49.00	49.10	48.50
10	Fc	Loam	exp1	49.50	48.69	50.10	49.50	49.50	49.00	48.70	49.00	48.80	48.40	48.80	47.40	47.30	47.70	47.90
11	Fc	Loam	exp1	48.70	48.46	48.60	48.40	49.20	48.40	48.70	48.80	48.80	48.40	49.00	48.00	48.00	48.00	47.50
12	Fc	Loam	exp1	48.30	47.80	47.80	47.80	48.30	47.70	48.10	48.10	48.00	47.70	48.50	47.20	47.50	47.30	46.90
13	C	Loam	exp1	45.80	45.70	45.80	45.80	46.20	45.80	46.10	46.00	45.80	45.60	46.30	45.30	45.20	45.30	44.80
14	C	Loam	exp1	47.50	47.01	47.20	46.90	47.50	46.80	47.40	47.20	47.20	47.00	47.60	46.80	46.50	46.50	46.10
15	C	Loam	exp1	48.60	48.34	48.40	48.20	48.70	48.20	48.60	48.70	48.50	48.90	48.90	48.00	47.90	47.80	47.40
16	C	Loam	exp1	48.20	47.93	48.00	47.80	48.50	47.80	48.10	48.20	48.10	48.00	48.60	47.50	47.60	47.60	47.00
17	Lt	Sand	exp1	51.20	51.05	51.20	51.00	51.90	50.80	51.40	51.50	51.30	50.90	51.90	50.60	50.30	50.70	50.00
18	Lt	Sand	exp1	51.70	51.63	51.90	51.40	52.40	51.40	52.20	52.00	52.00	51.50	52.50	51.00	51.00	51.30	50.50
19	Lt	Sand	exp1	48.20	48.01	48.30	48.10	48.60	48.00	48.60	48.40	48.40	48.10	48.80	47.70	46.00	47.60	47.30
20	Lt	Sand	exp1	48.50	48.41	48.50	48.40	49.30	48.20	48.80	48.60	48.50	48.40	49.10	48.00	48.00	48.00	47.40
21	int	Sand	exp1	51.30	50.87	51.30	50.60	51.80	50.60	51.10	51.30	51.00	50.90	51.80	50.30	50.20	50.30	49.70
22	int	Sand	exp1	51.30	51.26	51.50	51.10	52.10	51.00	51.80	51.60	51.30	51.10	52.30	50.90	50.80	50.70	50.10
23	int	Sand	exp1	47.80	48.00	47.80	47.60	48.30	47.60	47.90	49.80	49.60	43.70	44.80	49.40	49.50	49.20	49.00
24	int	Sand	exp1	47.70	47.73	47.80	47.60	48.20	47.60	48.20	48.10	47.80	47.70	48.60	47.50	47.50	47.20	46.70
25	Fc	Sand	exp1	51.30	51.14	51.40	50.90	51.90	51.10	51.40	51.50	51.30	51.10	52.30	50.60	50.80	50.50	49.90
26	Fc	Sand	exp1	50.90	50.74	51.10	50.60	51.60	50.40	51.00	51.10	50.80	50.90	51.90	50.10	50.30	50.00	49.60
27	Fc	Sand	exp1	51.00	51.15	51.10	50.80	52.00	51.00	51.50	51.70	51.30	51.20	52.30	50.50	50.90	50.70	50.10
28	Fc	Sand	exp1	52.30	52.49	52.70	52.30	53.20	52.70	53.10	52.80	52.60	52.50	53.70	52.00	52.10	51.90	51.00
29	C	Sand	exp1	52.20	52.19	52.50	52.10	52.70	52.20	52.40	52.60	52.10	52.10	53.40	51.80	52.10	51.40	51.10
30	C	Sand	exp1	52.20	52.16	52.50	52.00	52.90	52.00	52.60	52.60	52.20	52.10	53.30	51.70	51.70	51.50	51.00
31	C	Sand	exp1	52.10	52.02	52.20	51.80	53.00	51.70	52.40	52.40	52.20	52.00	53.10	51.60	51.60	51.50	50.70
32	C	Sand	exp1	50.90	51.00	51.20	51.00	51.60	51.00	51.10	51.40	51.10	50.80	52.50	50.80	50.90	49.70	50.00
33	Lt	Loam	exp2	52.40	52.38	52.60	52.20	52.90	52.10	52.60	52.70	52.20	52.00	53.90	52.30	52.20	51.90	51.30
34	Lt	Loam	exp2	53.00	52.90	53.20	52.60	53.80	52.70	53.30	53.00	52.60	52.60	54.20	52.50	52.80	52.40	51.90
35	Lt	Loam	exp2	51.60	51.35	51.60	51.20	52.20	51.10	51.70	51.60	51.10	51.10	52.70	51.00	51.00	50.80	50.20
36	int	Loam	exp2	51.80	51.38	51.80	51.20	52.00	51.30	51.50	51.50	51.10	51.10	52.90	50.70	51.20	50.90	50.30
37	int	Loam	exp2	52.60	52.15	52.20	52.10	52.60	52.20	52.30	52.50	51.90	51.90	53.70	52.00	51.70	51.80	50.60
38	int	Loam	exp2	52.20	52.30	52.50	52.30	52.90	52.00	52.70	52.60	52.00	52.10	53.90	52.10	51.90	51.90	51.10
