MK	exp	soil	treat	before	after	diff	percentage
1	Exp1	Lehm	R	9.47	9.0326	-0.4374	-4.618796199
2	Exp1	Lehm	R	10.13	8.4539	-1.6761	-16.54590326
3	Exp1	Lehm	R	9.4	7.1607	-2.2393	-23.82234043
4	Exp1	Lehm	R	10.16	8.9865	-1.1735	-11.55019685
5	Exp1	Lehm	RC	10.17	8.4635	-1.7065	-16.77974435
6	Exp1	Lehm	RC	9.39	7.7806	-1.6094	-17.13951012
7	Exp1	Lehm	RC	10.21	8.8453	-1.3647	-13.36630754
17	Exp1	Sand	R	9.69	8.5311	-1.1589	-11.95975232
18	Exp1	Sand	R	9.56	7.9088	-1.6512	-17.27196653
19	Exp1	Sand	R	9.66	8.0014	-1.6586	-17.16977226
20	Exp1	Sand	R	9.56	8.8153	-0.7447	-7.789748954
21	Exp1	Sand	RC	9.71	7.9312	-1.7788	-18.3192585
23	Exp1	Sand	RC	9.76	9.9319	0.1719	1.761270492
24	Exp1	Sand	RC	10.13	7.9461	-2.1839	-21.55873643
33	Exp2	Lehm	R	10.07	9.4443	-0.6257	-6.213505462
34	Exp2	Lehm	R	10.01	9.0709	-0.9391	-9.381618382
35	Exp2	Lehm	R	9.53	8.887	-0.643	-6.747114376
36	Exp2	Lehm	RC	9.65	8.4389	-1.2111	-12.55025907
37	Exp2	Lehm	RC	10.05	7.797	-2.253	-22.41791045
38	Exp2	Lehm	RC	9.55	6.7699	-2.7801	-29.11099476
45	Exp2	Sand	R	10.14	8.8782	-1.2618	-12.44378698
46	Exp2	Sand	R	10.19	7.9406	-2.2494	-22.07458292
47	Exp2	Sand	R	10.16	9.376	-0.784	-7.716535433
48	Exp2	Sand	RC	10.07	8.2404	-1.8296	-18.16881827
49	Exp2	Sand	RC	9.99	8.1181	-1.8719	-18.73773774
50	Exp2	Sand	RC	9.78	7.8518	-1.9282	-19.71574642
