"treat";"day";"soil";"total.mean";"nitox.mean";"dinitrogen.mean";"total.se";"nitox.se";"dinitrogen.se"
"Lt";"26";"Loam";"57.372";"11.634";"45.738";32.3724927677805;5.94983529183792;26.5701374478944
"Lt";"33";"Loam";"392.154";"47.523";"344.631";180.07958157437;21.9114413263939;159.45528814373
"Lt";"40";"Loam";"1196.748";"138.852";"1057.917";526.026558839;55.3660941100237;475.104602412985
"Fc";"26";"Loam";"1.96";"0.14";"1.82";1.71418552088156;0.14;1.57473553335155
"Fc";"33";"Loam";"83.272";"0.812";"82.432";29.6576972808072;0.481730214954387;29.4749311788848
"Fc";"40";"Loam";"236.824";"1.484";"235.284";71.2634325302956;1.20106619301352;70.519538398943
"LF";"26";"Loam";"249.788";"44.8";"204.96";83.6480915263462;15.0110556590801;68.9339812864454
"LF";"33";"Loam";"596.932";"89.46";"507.444";141.240270971136;26.3647322004226;116.056612254537
"LF";"40";"Loam";"1114.596";"146.832";"967.708";220.849733312042;44.9372173593337;178.164371836795
"C";"26";"Loam";"7.868";"0.224";"7.616";6.18838007882515;0.224;5.93996094263254
"C";"33";"Loam";"53.62";"1.316";"52.248";21.133898457218;0.922301469152034;20.1747723655064
"C";"40";"Loam";"116.032";"2.184";"113.792";35.8654862507119;1.66523511853432;34.1971142642182
"Lt";"26";"Sand";"186.375";"48.447";"137.97";43.1580655845463;15.6717744049613;28.9041078741413
"Lt";"33";"Sand";"786.786";"139.713";"647.136";94.5945918802973;43.7039785145472;55.14360086175
"Lt";"40";"Sand";"1406.538";"227.073";"1179.486";137.241715443957;66.7201914565598;95.2528857515613
"Fc";"26";"Sand";"343.812";"77.868";"265.944";138.17755742522;29.4170750415469;109.618294239602
"Fc";"33";"Sand";"926.688";"197.232";"729.428";340.86800835514;60.5819196790593;283.71105526574
"Fc";"40";"Sand";"1274.784";"258.832";"1015.952";524.828968301103;85.7496742850957;445.386183961739
"LF";"26";"Sand";"184.016";"35.028";"149.016";20.0908926630949;2.1300253519618;18.860198090158
"LF";"33";"Sand";"669.396";"129.976";"539.504";84.2362444556973;4.56863568256432;80.9922252071148
"LF";"40";"Sand";"1112.104";"223.86";"888.356";149.994554781165;20.6563915532215;146.192467275164
"C";"26";"Sand";"133.728";"32.62";"101.108";24.9595932659168;7.88203730008936;21.3093797187999
"C";"33";"Sand";"575.036";"99.176";"475.888";68.2268479705753;18.7190418558216;59.0556575443877
"C";"40";"Sand";"1030.764";"157.332";"873.46";111.707108028093;30.9468282058114;90.4035189580583
